sent_date,Total Number of Messages,explicit_word_in_msg,funny_word_in_msg,question_mark_in_msg,question_word_in_msg,exclamation_mark_in_msg
,,0.0,0.0,5.0,3.0,0.0
2014-03-31,7.0,0.0,0.0,3.0,3.0,0.0
2014-04-30,6.0,0.0,0.0,0.0,0.0,0.0
2014-05-31,0.0,0.0,0.0,2.0,0.0,0.0
2014-06-30,2.0,0.0,0.0,0.0,0.0,0.0
2014-07-31,1.0,0.0,1.0,1.0,0.0,0.0
2014-08-31,6.0,0.0,0.0,1.0,0.0,0.0
2014-09-30,3.0,0.0,0.0,0.0,0.0,0.0
2014-10-31,0.0,0.0,4.0,13.0,9.0,2.0
2014-11-30,26.0,0.0,10.0,46.0,32.0,7.0
2014-12-31,91.0,0.0,0.0,11.0,6.0,1.0
2015-01-31,15.0,0.0,0.0,6.0,5.0,0.0
2015-02-28,6.0,0.0,1.0,3.0,1.0,1.0
2015-03-31,3.0,0.0,0.0,0.0,0.0,0.0
2015-04-30,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-31,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-30,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-31,0.0,0.0,2.0,17.0,9.0,0.0
2015-08-31,33.0,0.0,1.0,46.0,23.0,5.0
2015-09-30,102.0,0.0,7.0,57.0,32.0,10.0
2015-10-31,114.0,0.0,3.0,16.0,5.0,3.0
2015-11-30,28.0,0.0,0.0,11.0,7.0,0.0
2015-12-31,14.0,0.0,1.0,21.0,12.0,3.0
2016-01-31,33.0,0.0,4.0,9.0,9.0,4.0
2016-02-29,25.0,0.0,1.0,5.0,3.0,1.0
2016-03-31,8.0,0.0,0.0,2.0,2.0,0.0
2016-04-30,2.0,0.0,0.0,3.0,2.0,0.0
2016-05-31,4.0,0.0,1.0,7.0,6.0,1.0
2016-06-30,15.0,0.0,0.0,0.0,0.0,0.0
2016-07-31,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-31,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-31,0.0,0.0,3.0,21.0,17.0,1.0
2016-11-30,46.0,0.0,2.0,22.0,15.0,2.0
2016-12-31,36.0,0.0,0.0,6.0,3.0,3.0
2017-01-31,8.0,0.0,0.0,5.0,2.0,1.0
2017-02-28,6.0,0.0,4.0,42.0,27.0,6.0
2017-03-31,75.0,0.0,0.0,11.0,7.0,1.0
2017-04-30,18.0,0.0,0.0,2.0,1.0,0.0
2017-05-31,2.0,0.0,3.0,8.0,7.0,0.0
2017-06-30,11.0,0.0,0.0,0.0,0.0,0.0
2017-07-31,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31,0.0,0.0,0.0,5.0,2.0,0.0
2017-09-30,5.0,0.0,0.0,1.0,0.0,0.0
2017-10-31,1.0,0.0,0.0,0.0,0.0,0.0
2017-11-30,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,0.0,0.0,3.0,15.0,9.0,4.0
2018-02-28,48.0,0.0,0.0,2.0,0.0,0.0
2018-03-31,2.0,0.0,0.0,4.0,2.0,1.0
2018-04-30,6.0,0.0,0.0,0.0,0.0,0.0
2018-05-31,0.0,0.0,0.0,1.0,0.0,1.0
2018-06-30,1.0,0.0,0.0,0.0,0.0,0.0
2018-07-31,0.0,0.0,0.0,1.0,0.0,0.0
2018-08-31,1.0,0.0,0.0,0.0,0.0,0.0
2018-09-30,0.0,1.0,11.0,38.0,29.0,10.0
2018-10-31,89.0,0.0,4.0,32.0,7.0,3.0
2018-11-30,62.0,,,,,
