Month,app_opens,matches,messages_received,messages_sent,swipes_likes,swipes_passes
2014-11-30,48,4,0,0,307,5
2014-12-31,117,10,0,0,388,10
2015-01-31,50,7,0,0,228,4
2015-02-28,27,2,0,0,227,1
2015-03-31,19,1,0,0,219,5
2015-04-30,5,0,0,0,157,4
2015-05-31,16,1,0,0,130,2
2015-06-30,10,0,0,0,156,2
2015-07-31,27,1,0,0,192,15
2015-08-31,64,10,0,0,167,19
2015-09-30,246,32,62,70,711,17
2015-10-31,208,20,81,114,795,27
2015-11-30,55,8,19,28,328,3
2015-12-31,57,4,11,14,426,38
2016-01-31,78,3,18,33,965,52
2016-02-29,81,7,13,25,722,56
2016-03-31,53,2,4,8,835,187
2016-04-30,45,2,0,2,499,185
2016-05-31,21,1,4,4,79,27
2016-06-30,170,3,16,15,971,287
2016-07-31,12,1,0,0,117,33
2016-08-31,2,0,0,0,0,0
2016-09-30,0,0,0,0,0,0
2016-10-31,0,0,0,0,0,0
2016-11-30,116,4,52,46,207,135
2016-12-31,152,11,30,36,145,152
2017-01-31,71,6,4,8,502,227
2017-02-28,150,4,6,6,266,68
2017-03-31,601,5,78,76,307,180
2017-04-30,106,1,13,18,166,74
2017-05-31,27,0,3,2,77,38
2017-06-30,74,5,8,11,66,18
2017-07-31,10,0,0,0,30,19
2017-08-31,31,1,0,0,171,71
2017-09-30,27,3,3,5,21,10
2017-10-31,11,0,0,1,21,15
2017-11-30,0,0,0,0,0,0
2017-12-31,0,0,0,0,0,0
2018-01-31,27,0,0,0,95,139
2018-02-28,181,5,48,48,196,138
2018-03-31,41,1,0,2,75,95
2018-04-30,73,3,5,6,124,112
2018-05-31,56,3,0,0,95,131
2018-06-30,50,2,0,1,93,94
2018-07-31,34,1,0,0,73,61
2018-08-31,19,0,0,1,31,10
2018-09-30,30,2,0,0,62,43
2018-10-31,251,1,77,89,376,251
2018-11-30,282,11,36,62,789,324
2018-12-31,19,1,0,0,163,42
